timestamp,task_id,task_name,episode_idx,policy_step,chunk_id,chunk_start_frame,chunk_end_frame,selected_frame,selected_frame_local_offset,valid_count,gate_score,pool_attention_selected
2026-06-26T16:50:49.126733+00:00,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,1,0,0,-1,-1,-1,-1,0,0.4898315966129303,nan
2026-06-26T16:50:49.127156+00:00,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,1,0,1,-1,-1,-1,-1,0,0.4899880290031433,nan
2026-06-26T16:50:49.127241+00:00,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,1,0,2,-1,-1,-1,-1,0,0.49014443159103394,nan
2026-06-26T16:50:49.127294+00:00,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,1,0,3,-1,-1,-1,-1,0,0.490300714969635,nan
2026-06-26T16:50:49.127343+00:00,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,1,0,4,-1,-1,-1,-1,0,0.4904569685459137,nan
2026-06-26T16:50:49.127393+00:00,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,1,0,5,-1,-1,-1,-1,0,0.49061304330825806,nan
2026-06-26T16:50:49.127440+00:00,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,1,0,6,-1,-1,-1,-1,0,0.4907691478729248,nan
2026-06-26T16:50:49.127493+00:00,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,1,0,7,-1,-1,-1,-1,0,0.4909251034259796,nan
2026-06-26T16:50:49.127545+00:00,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,1,0,8,-1,-1,-1,-1,0,0.49108096957206726,nan
2026-06-26T16:50:49.127593+00:00,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,1,0,9,-1,-1,-1,-1,0,0.4912368357181549,nan
2026-06-26T16:50:49.127638+00:00,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,1,0,10,-1,-1,-1,-1,0,0.4913925230503082,nan
